<q> <I> <dI> <dQ>
0.00235 1.0470490553614615 1.0170543431058905 0.000392
0.00244 1.7697653123771049 0.5344961107199079 0.000389
0.00254 0.9361194783084461 0.7748135008467971 0.000403
0.00264 1.6871393596246071 0.6462232277111952 0.000408
0.00274 1.200737626035305 0.34941487137654986 0.000425
0.00285 1.2789531238838987 0.32556287566486247 0.00043
0.00297 0.5044780318977301 0.4305527702378364 0.000431
0.00309 0.6146776365531007 0.4074781326194224 0.000442
0.00321 0.8633773189483748 0.1989278289592875 0.00045
0.00334 1.187477420085204 0.2933000168298896 0.000461
0.00347 0.9568746183291424 0.29032405678867174 0.000463
0.00361 0.8768033561859323 0.17251995799037098 0.000485
0.00376 0.793865683230603 0.14613357119207204 0.000498
0.00391 0.889853648797448 0.126009130363501 0.000508
0.00406 0.774515244300304 0.1397913434207806 0.000524
0.00423 0.9401642227726172 0.11477931106530077 0.000537
0.00439 0.7949197492158864 0.11374979846688658 0.000543
0.00457 0.8838822587397782 0.11429999936941816 0.000573
0.00475 0.7587963642514434 0.09398078246352387 0.000578
0.00494 0.7682059143926703 0.08399653608232682 0.000594
0.00514 0.8137385921088066 0.07214670226345261 0.000621
0.00535 0.8127337547160931 0.06698906587884286 0.000636
0.00556 0.7812966104657953 0.06096298301775817 0.000667
0.00578 0.709528605908401 0.05138810555306907 0.00068
0.00601 0.6535929753591588 0.04823212055682447 0.000694
0.00625 0.6491924990774832 0.04120431467386344 0.000707
0.0065 0.5923777743965898 0.03961147821589444 0.000721
0.00676 0.5745478285126364 0.03581072844460011 0.000743
0.00703 0.5429560324239583 0.031970012015277646 0.000773
0.00732 0.5418263644294106 0.02983189474854821 0.00079
0.007609999999999999 0.5185533214612464 0.026530013874965747 0.000809
0.00791 0.47691142205539655 0.025242534494984068 0.000837
0.008229999999999998 0.45383093292408816 0.022597041475750843 0.000864
0.00856 0.4524554167929625 0.02108808876858636 0.000859
0.0089 0.4403792789025071 0.019413432142978124 0.000897
0.00926 0.37924055506561777 0.017634632343303046 0.000913
0.00963 0.37978546793191326 0.016501753901195623 0.000936
0.01001 0.3408300233344197 0.01561373350196238 0.000931
0.01041 0.3317059288322846 0.013933705595258944 0.000961
0.01083 0.29569905580413947 0.013022838880305488 0.000985
0.01126 0.2658155977812375 0.012338630739786381 0.001
0.01171 0.2514565568304594 0.011337888296320323 0.00102
0.01218 0.22170573184759648 0.010615391345178634 0.00105
0.01267 0.204736949732455 0.010131621436182323 0.00106
0.01318 0.17786094050927323 0.009651857943140796 0.00109
0.0137 0.15964407657760063 0.009085290212082136 0.00113
0.01425 0.1271446353709772 0.008171214841715185 0.00112
0.01482 0.11649321506568666 0.007853798578626723 0.00113
0.01541 0.10180058235191437 0.007515190794409333 0.00114
0.01603 0.08153392220219803 0.007085222796186267 0.00114
0.01667 0.06878337556025935 0.0066136826304312646 0.00115
0.01734 0.058324610957370446 0.006101177736892304 0.00116
0.01803 0.04470423846914071 0.005651680963243793 0.00117
0.01875 0.031866447067870306 0.00508028445579341 0.00117
0.0195 0.023393285695959724 0.004788592138458059 0.00117
0.02028 0.017068233968264658 0.004602911338438476 0.00118
0.0211 0.017793263595033474 0.0035974317134431447 0.00117
0.02194 0.016378474697610466 0.003129955721582835 0.00119
